Rank,Team,2017,Last 3,Last 1,Home,Away,2016
1,Houston,0.768,0.333,0.000,0.804,0.729,0.656
2,Golden State,0.718,1.000,1.000,0.750,0.686,0.838
3,Toronto,0.685,0.000,0.000,0.804,0.565,0.598
4,Boston,0.653,0.333,0.000,0.712,0.592,0.620
5,Philadelphia,0.620,0.333,0.000,0.733,0.511,0.342
6,Cleveland,0.596,0.000,0.000,0.712,0.481,0.640
7,New Orleans,0.582,0.333,0.000,0.600,0.565,0.415
8,Indiana,0.573,0.333,0.000,0.659,0.489,0.488
9,Utah,0.570,0.000,0.000,0.674,0.468,0.591
10,Portland,0.570,0.000,0.000,0.651,0.488,0.477
11,Okla City,0.568,0.333,0.000,0.659,0.477,0.552
12,Denver,0.561,0.667,0.000,0.756,0.366,0.488
13,Minnesota,0.552,0.333,0.000,0.721,0.386,0.378
14,San Antonio,0.552,0.333,0.000,0.791,0.318,0.704
15,Milwaukee,0.528,0.333,0.000,0.636,0.422,0.500
16,Miami,0.517,0.000,0.000,0.605,0.432,0.500
17,LA Clippers,0.512,0.000,0.000,0.537,0.488,0.607
18,Washington,0.511,0.333,0.000,0.568,0.455,0.590
19,Detroit,0.476,0.333,1.000,0.610,0.342,0.451
20,Charlotte,0.439,0.667,1.000,0.512,0.366,0.439
21,LA Lakers,0.427,0.333,1.000,0.488,0.366,0.317
22,New York,0.354,0.333,1.000,0.463,0.244,0.378
23,Brooklyn,0.342,0.667,0.000,0.359,0.326,0.244
24,Sacramento,0.329,0.667,1.000,0.342,0.317,0.390
25,Chicago,0.329,0.000,0.000,0.415,0.244,0.489
26,Orlando,0.305,0.333,1.000,0.415,0.195,0.354
27,Atlanta,0.293,0.667,0.000,0.390,0.195,0.511
28,Dallas,0.293,0.000,0.000,0.366,0.220,0.402
29,Memphis,0.268,0.333,0.000,0.390,0.146,0.511
30,Phoenix,0.256,0.333,1.000,0.244,0.268,0.293
